,activity_type_dataplus,activity_type_dualpane,activity_type_externalquiz,activity_type_folder,activity_type_forumng,activity_type_glossary,activity_type_homepage,activity_type_quiz,activity_type_resource,gender_F,gender_M,region_East Anglian Region,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region,highest_education_A Level or Equivalent,highest_education_HE Qualification,highest_education_Lower Than A Level,imd_band_0-10%,imd_band_10-20,imd_band_20-30%,imd_band_30-40%,imd_band_40-50%,imd_band_50-60%,imd_band_60-70%,imd_band_70-80%,imd_band_80-90%,imd_band_90-100%,age_band_0-35,age_band_35+,disability_N,disability_Y,final_result_Distinction,final_result_Fail,final_result_Pass,final_result_Withdrawn,study_status_finished,study_status_unfinished,withdrawal_status_didn't withdraw,withdrawal_status_early withdrawal,withdrawal_status_late withdrawal,withdrawal_status_normal withdrawal,sum,count,score,num_of_prev_attempts,assessment_engagement_score,submission_timeliness,score_per_weight,module_engagement_rate,repeat_student,performance_by_registration,weighted_engagement,cumulative_score,engagement_consistency,learning_pace,engagement_dropoff,activity_diversity,improvement_rate,kmeans_cluster,average_engagement,engagement_classification,study_method_preference,id_student
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.04691823772489921,0.055063733484208066,0.618,0.0,0.02757234004669376,0.5846367937656554,0.03225778522552716,0.15609523105171724,0.0,0.49687475522832303,0.03891158243896524,0.0733357211642606,0.11866076467386757,0.4707925047275228,0.0973902391004747,0.4,0.6446540880503143,2,0.1870603802913202,0,3,6516
1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.006647366775270585,0.015226145705062068,0.8730769230769231,0.05128205128205128,0.0013793953379193744,0.5447130103406195,0.0706563475794245,0.020120622456910375,0.3076923076923077,0.49712063015893204,0.0012981353947545593,0.11655771569380703,0.017075494170644776,0.34981023789688054,0.013270439020571137,0.5333333333333333,0.6239655743131413,0,0.13375537965871628,2,0,8462
2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.015698814099007773,0.016291143874596466,0.8200000000000001,0.0,0.004208550269280676,0.5866406902310046,0.043281664571987156,0.06093077896214696,0.0,0.5005646479799086,0.005939844588864786,0.08439924247136212,0.046766041578390025,0.4891295627757722,0.042164116900270575,0.33333333333333337,0.633268271524615,2,0.14035317548686552,2,3,11391
3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.002161991318411222,0.003910540153759111,0.8250000000000001,0.3333333333333333,0.00026770244250753076,0.5999165043139437,0.2862061403508772,0.013771143943449032,1.0,0.49377641405662015,0.00011824760288068166,0.058791578820940556,0.007565499150795827,0.3636582430806258,0.009982188643792448,0.26666666666666666,0.5676928169480303,2,0.094575670218674,1,1,23629
4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.02447454868851522,0.04058641461709987,0.7375,0.0,0.003367021498945996,0.593967436682438,0.08735009057971015,0.044251163723887134,0.0,0.4997251371260338,0.002970157435227176,0.160185028300086,0.043692994098883414,0.4202767749699158,0.020365156103348738,0.4666666666666667,0.6234401517420384,0,0.14308427635669643,2,0,23698
5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.021818291858740936,0.05599560688255066,0.9390909090909091,0.0,0.0015997026665881815,0.5918326038003188,0.26210526315789473,0.025431596678884616,0.0,0.48409114188075575,0.0010264337471970933,0.3132468267813241,0.013872686895154694,0.39359904702864995,0.0038251075811507195,0.5333333333333333,0.6254011038377614,0,0.13895541541870837,2,0,23798
6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.004946017464048068,0.010899590641328583,0.625,0.0,0.0003698183837699636,0.4878235457834678,0.625,0.01304063826102682,0.0,0.4894584997780737,0.0,0.10205832455769721,0.008471377911698049,0.40072202166064985,0.004605049729789607,0.33333333333333337,0.6155493108524018,2,0.10864889132575252,1,0,24186
7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.046881251870307415,0.08606516457549838,0.7628571428571429,0.16666666666666666,0.015204592553792388,0.5958013597868872,0.04226400062326512,0.09656872428711495,1.0,0.4956625667124876,0.030654022965483314,0.16336930501557861,0.05917106235248179,0.4291062594311692,0.027675475953406345,0.5333333333333333,0.6187867721647392,0,0.1702447815538259,2,0,24213
8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0215425791245112,0.034429393949479144,0.8888888888888888,0.0,0.002166140040575822,0.49178959087113827,0.8888888888888888,0.0407509731374115,0.0,0.49581392945795966,0.0,0.18985877243089527,0.027733525071964745,0.3884591140908831,0.012776064971988625,0.4,0.6289308176100628,2,0.12455511675897483,1,0,24391
9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.008385701941084895,0.019120045262422204,0.46799999999999997,0.0,0.0018316643265350692,0.6096854995825215,0.024360843457617652,0.027584589459845286,0.0,0.4886660922691314,0.002585506061150366,0.05559685406849929,0.017356617337534068,0.4702423929860753,0.010500295320805897,0.4,0.6354051054384017,2,0.1328715807845637,2,3,24734
10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0947543971137584,0.09571671048690385,0.7736363636363636,0.0,0.02880597525652922,0.5957037674265617,0.25018341307814995,0.12483368428315152,0.0,0.49760588575502024,0.018478422025172907,0.26102995583942623,0.12725764112852997,0.3893204001507251,0.03604253155334279,0.5333333333333333,0.6144910794506481,0,0.17972456967582642,0,0,25107
11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.02828072936105255,0.033730488900722194,0.8425,0.0,0.01601495951619054,0.588644586696354,0.034954361054766736,0.11476747904411011,0.0,0.4935737856770683,0.028251790267955164,0.0929994016124293,0.09684910911991558,0.43622141997593267,0.09133986732086517,0.4666666666666667,0.6096571312639479,0,0.17858732741594796,0,1,25150
12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.003348901015766061,0.0054081938296668556,0.78,0.0,0.00547640761017864,0.5986640690231004,0.26,0.05550705870624679,0.0,0.4996523808962681,0.0007729085986500823,0.02074410245081533,0.04121246247829371,0.36462093862815886,0.1870583860171067,0.4,0.6289308176100628,2,0.1506640231483764,2,1,25261
13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000756528843923056,0.0019469497786800678,0.55,0.3333333333333333,0.0001312350512186376,0.5911494572780406,0.08030303030303029,0.007195333169753404,1.0,0.49895661506051636,6.967692031022031e-05,0.024600377906415612,0.004100592211458089,0.3983152827918171,0.008113864566077284,0.33333333333333337,0.48599199542595756,2,0.10732275972056689,1,1,25572
14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,8.405876043589511e-05,0.00021632775318667418,0.865,0.3333333333333333,1.5142505909842798e-05,0.5986640690231004,0.2692105263157895,0.0025387824567561232,1.0,0.49999035102954514,1.0436489035666908e-05,0.014826714251704546,0.0015322188951284218,0.34055354993983156,0.008181480104127928,0.06666666666666667,0.3459119496855345,2,0.05992832529392232,1,1,25997
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.023781904502523446,0.03967118181515625,0.88,0.0,0.0027274791328956286,0.482605065404954,0.88,0.045027271224925294,0.0,0.4903092173398432,0.0,0.18957065989685618,0.023575049413931876,0.38784787882260807,0.011300519440012475,0.4,0.6152363562588758,2,0.12435402829062478,1,0,26023
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.03736916253938152,0.054814124538223444,0.8620000000000001,0.0,0.02540211731840784,0.5881436125800167,0.04587655355397291,0.12424791673052037,0.0,0.49092021448878975,0.035848893741836585,0.10306893467709591,0.09229803935073362,0.4718927282104178,0.07494585785225208,0.4,0.629855715871254,2,0.17494793617202406,2,3,26192
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6134910948149194,0.48722002196558717,0.8925000000000001,0.0,0.2598485010056615,0.4387698302254383,0.5753703703703703,0.44367757128713514,0.0,0.4835219707057257,0.152794680743177,0.5387371948991927,0.5051271507322773,0.37863350715336275,0.10378720672468632,0.9333333333333333,0.6271740276167386,1,0.3967431358542334,0,2,26211
18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0016038411491168787,0.002446167670649316,0.88,0.3333333333333333,0.0005823821991240948,0.588644586696354,0.06518518518518518,0.020529120210665896,1.0,0.4931395820065999,0.0005140491295025073,0.029254503456278027,0.011810407633813521,0.36462093862815886,0.03737448865749349,0.5333333333333333,0.6289308176100628,0,0.1383949599702988,2,1,26247
19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.04120224201525834,0.0513195992944387,0.514,0.16666666666666666,0.013387809386988705,0.5756192596715836,0.026655122655122654,0.09837417809232708,1.0,0.5003204518517435,0.0188939127503497,0.08549628635097253,0.07382252703475813,0.44009626955475334,0.04517269905358945,0.6,0.6680785521755871,0,0.18424962798182376,0,3,26315
20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.002114918412567121,0.005574599793656604,0.7433333333333333,0.0,0.00021853550782561861,0.629557472863902,0.3616594516594517,0.009008701476257153,0.0,0.49936972924988904,0.0001545031782256865,0.07003350827412012,0.0054385905587286815,0.45375941525159336,0.005492462167806161,0.5333333333333333,0.5829704886308659,0,0.14391507735339573,2,1,26734
21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.049678727417614005,0.09423569740739508,0.93,0.0,0.010249130478921205,0.5936543278597272,0.10563103864734301,0.08015259381083498,0.0,0.500133155792277,0.009040317052560929,0.22606583764608484,0.04121440685087734,0.4143602085840353,0.014016415338441956,0.5333333333333333,0.626716272477633,0,0.15748091506414358,2,0,27116
